,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,0.6151560100486482,0.005556572438049096,4703.486122873646
1,500,0.25,0.0,0.0,0.7414375580440522,0.004630208169812485,6970.82045495408
2,1000,0.25,0.0,0.0,0.7460596304449243,0.004167089113193044,6004.005505484859
3,1500,0.25,0.0,0.0,0.7460596304449243,0.004167089113193044,6004.005505484859
4,2000,0.25,0.0,0.0,0.7460596304449243,0.004167089113193044,6004.005505484859
5,2500,0.25,0.0,0.0,0.7460596304449243,0.004167089113193044,6004.005505484859
6,3000,0.25,0.0,0.0,0.7460596304449243,0.004167089113193044,6004.005505484859
7,3500,0.25,0.0,0.0,0.7460596304449243,0.004167089113193044,6004.005505484859
8,4000,0.25,0.0,0.0,0.7460596304449243,0.004167089113193044,6004.005505484859
9,4500,0.25,0.0,0.0,0.7460596304449243,0.004167089113193044,6004.005505484859
10,5000,0.25,0.0,0.0,0.7460596304449243,0.004167089113193044,6004.005505484859
