,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-1.6735362459636454,0.007730662796230272,14255.917717704207
1,500,0.24981594154245232,0.0018313585295314328,0.00018405845754765945,0.6926084485524555,0.001938548678287895,9697.58452219372
2,1000,0.24981594154245232,0.0018313585295314328,0.00018405845754765945,0.6926084485524555,0.001938548678287895,9697.58452219372
3,1500,0.24981594154245232,0.0018313585295314328,0.00018405845754765945,0.6926084485524555,0.001938548678287895,9697.58452219372
4,2000,0.25,0.0,0.0,0.6977740598537792,0.0018078908702382891,8629.385880402171
5,2500,0.25,0.0,0.0,0.6977740598537792,0.0018078908702382891,8629.385880402171
6,3000,0.25,0.0,0.0,0.699431512054941,0.001787476567824676,8630.472383194554
7,3500,0.25,0.0,0.0,0.6995221967791014,0.0017851202228159502,8613.562064600403
8,4000,0.25,0.0,0.0,0.7005021865718988,0.001772769826034172,8628.224354510463
9,4500,0.25,0.0,0.0,0.7005021865718988,0.001772769826034172,8628.224354510463
10,5000,0.25,0.0,0.0,0.7007145866240341,0.001769740763439983,8628.388965105441
