,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,0.7272408559445562,0.001439207417845473,31093.195214695243
1,500,0.2427534524753084,0.021916403297430477,0.002202681408838932,0.8590186785710001,0.0009726229617048495,26046.28589429016
2,1000,0.2427534524753084,0.021916403297430477,0.002202681408838932,0.8590186785710001,0.0009726229617048495,26046.28589429016
3,1500,0.2497685803139794,0.0023025968028968485,0.00023141968602062953,0.8636942928894022,0.0008178045229387025,17501.77239900367
4,2000,0.25,0.0,0.0,0.8629190794541152,0.0008770114805975522,19103.885297560315
5,2500,0.25,0.0,0.0,0.8629190794541152,0.0008770114805975522,19103.885297560315
6,3000,0.25,0.0,0.0,0.8638005028510779,0.0008426268903379487,19105.411485368226
7,3500,0.25,0.0,0.0,0.8638005028510779,0.0008426268903379487,19105.411485368226
8,4000,0.25,0.0,0.0,0.8638026668251215,0.0008458229697852523,19097.833823376746
9,4500,0.25,0.0,0.0,0.8638026668251215,0.0008458229697852523,19097.833823376746
10,5000,0.25,0.0,0.0,0.8638035011535388,0.0008445737453415114,19108.7726188474
