,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-13.806467982422303,0.009336744036088288,20129.46425065378
1,500,0.25,0.0,0.0,0.8532120643706391,0.0008502638732470559,14267.692433982453
2,1000,0.25,0.0,0.0,0.8532120643706391,0.0008502638732470559,14267.692433982453
3,1500,0.25,0.0,0.0,0.8532120643706391,0.0008502638732470559,14267.692433982453
4,2000,0.25,0.0,0.0,0.8532120643706391,0.0008502638732470559,14267.692433982453
5,2500,0.25,0.0,0.0,0.8532120643706391,0.0008502638732470559,14267.692433982453
6,3000,0.25,0.0,0.0,0.8570401030778394,0.0007949287358364525,14266.304234408697
7,3500,0.25,0.0,0.0,0.8570401253568608,0.0007948635618640009,14272.747725878085
8,4000,0.25,0.0,0.0,0.8570401253568608,0.0007948635618640009,14272.747725878085
9,4500,0.25,0.0,0.0,0.8570606832958563,0.0007925613099693502,14275.831296426855
10,5000,0.25,0.0,0.0,0.8570606832958563,0.0007925613099693502,14275.831296426855
