,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-0.882444157489948,0.0024589817416979056,6241.122267666915
1,500,0.25,0.0,0.0,0.8579802556694136,0.0009177564595280662,22167.129780951116
2,1000,0.25,0.0,0.0,0.8589298460742758,0.0008954688318729473,20938.425978987976
3,1500,0.25,0.0,0.0,0.8589298460742758,0.0008954688318729473,20938.425978987976
4,2000,0.25,0.0,0.0,0.8589298460742758,0.0008954688318729473,20938.425978987976
5,2500,0.25,0.0,0.0,0.8589298460742758,0.0008954688318729473,20938.425978987976
6,3000,0.25,0.0,0.0,0.8598700298561772,0.0008774519799093573,22186.17139805697
7,3500,0.25,0.0,0.0,0.859901601645617,0.0008753641618783489,22161.62438785341
8,4000,0.25,0.0,0.0,0.8599353183958007,0.0008720270367354004,22174.142826857154
9,4500,0.25,0.0,0.0,0.8599353183958007,0.0008720270367354004,22174.142826857154
10,5000,0.25,0.0,0.0,0.8599387968545212,0.0008716459014538072,22168.33192765322
