,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-18.792567547233443,0.0095693777861535,7298.080217636617
1,500,0.08907087993521744,0.05064676093961679,0.005090190996470806,0.8468495876492412,0.0007613234479215412,10061.914950900591
2,1000,0.24601460168454398,0.018610748245894503,0.0018704505757393022,0.8464042152556255,0.0008173115725582448,17053.155471970862
3,1500,0.24601460168454398,0.018610748245894503,0.0018704505757393022,0.8464042152556255,0.0008173115725582448,17053.155471970862
4,2000,0.24601460168454398,0.018610748245894503,0.0018704505757393022,0.8464042152556255,0.0008173115725582448,17053.155471970862
5,2500,0.24601460168454398,0.018610748245894503,0.0018704505757393022,0.8464042152556255,0.0008173115725582448,17053.155471970862
6,3000,0.25,0.0,0.0,0.8441628410421819,0.0008404134150702635,17047.27536183582
7,3500,0.25,0.0,0.0,0.8441628410421819,0.0008404134150702635,17047.27536183582
8,4000,0.25,0.0,0.0,0.8441628410421819,0.0008404134150702635,17047.27536183582
9,4500,0.25,0.0,0.0,0.8441628410421819,0.0008404134150702635,17047.27536183582
10,5000,0.25,0.0,0.0,0.8441628410421819,0.0008404134150702635,17047.27536183582
