,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-3.253034704452606,0.003897312395559687,7939.913417923894
1,500,0.25,0.0,0.0,0.8607191973432323,0.0008181356649010752,17214.555869671993
2,1000,0.25,0.0,0.0,0.8607191973432323,0.0008181356649010752,17214.555869671993
3,1500,0.25,0.0,0.0,0.8607191973432323,0.0008181356649010752,17214.555869671993
4,2000,0.25,0.0,0.0,0.8607191973432323,0.0008181356649010752,17214.555869671993
5,2500,0.25,0.0,0.0,0.8607191973432323,0.0008181356649010752,17214.555869671993
6,3000,0.25,0.0,0.0,0.8607191973432323,0.0008181356649010752,17214.555869671993
7,3500,0.25,0.0,0.0,0.8607436388229918,0.0008261491590717908,17219.579732056663
8,4000,0.25,0.0,0.0,0.8607436388229918,0.0008261491590717908,17219.579732056663
9,4500,0.25,0.0,0.0,0.8607481131141792,0.0008231685381103952,17237.427201548242
10,5000,0.25,0.0,0.0,0.8607481131141792,0.0008231685381103952,17237.427201548242
