,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-10.700511629159244,0.009237916913942303,24795.54452896119
1,500,0.24891524556646233,0.008271412074421362,0.0008313081920385112,0.8710192860273537,0.0009295576524372323,21943.266131918746
2,1000,0.24891524556646233,0.008271412074421362,0.0008313081920385112,0.8710192860273537,0.0009295576524372323,21943.266131918746
3,1500,0.24891524556646233,0.008271412074421362,0.0008313081920385112,0.8710192860273537,0.0009295576524372323,21943.266131918746
4,2000,0.24891524556646233,0.008271412074421362,0.0008313081920385112,0.8710192860273537,0.0009295576524372323,21943.266131918746
5,2500,0.24891524556646233,0.008271412074421362,0.0008313081920385112,0.8710192860273537,0.0009295576524372323,21943.266131918746
6,3000,0.25,0.0,0.0,0.8697282575405806,0.0009486320990746214,21950.28328228262
7,3500,0.25,0.0,0.0,0.8697282575405806,0.0009486320990746214,21950.28328228262
8,4000,0.25,0.0,0.0,0.8697282575405806,0.0009486320990746214,21950.28328228262
9,4500,0.25,0.0,0.0,0.8697282575405806,0.0009486320990746214,21950.28328228262
10,5000,0.25,0.0,0.0,0.8706107895215764,0.0009364766009794161,21946.27943237066
