,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-6.379672822996733,0.000634435446325268,100291.08636919477
1,500,0.2480696597316323,0.015040168235826776,0.001511593782486634,0.547119263927622,8.426538662974186e-05,54507.53299427036
2,1000,0.25,0.0,0.0,0.5429161645037559,9.423685549372482e-05,70021.5138328974
3,1500,0.25,0.0,0.0,0.5429161645037559,9.423685549372482e-05,70021.5138328974
4,2000,0.25,0.0,0.0,0.5429161645037559,9.423685549372482e-05,70021.5138328974
5,2500,0.25,0.0,0.0,0.5429161645037559,9.423685549372482e-05,70021.5138328974
6,3000,0.25,0.0,0.0,0.5432411348310804,9.41002808545808e-05,70026.81157797879
7,3500,0.25,0.0,0.0,0.5432411348310804,9.41002808545808e-05,70026.81157797879
8,4000,0.25,0.0,0.0,0.5432411348310804,9.41002808545808e-05,70026.81157797879
9,4500,0.25,0.0,0.0,0.5432411348310804,9.41002808545808e-05,70026.81157797879
10,5000,0.25,0.0,0.0,0.5432411348310804,9.41002808545808e-05,70026.81157797879
