,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-0.05540705824941261,0.00021342060462900775,81514.58330274503
1,500,0.19809546610930834,0.05500605700812716,0.005528316736147179,0.5601868850546661,7.745038477712447e-05,39149.79681718857
2,1000,0.24792897070801406,0.012424651108185341,0.0012487244205128545,0.5556041882564084,0.00010477869489761226,74226.14582596895
3,1500,0.24980223568629265,0.001967730076468554,0.0001977643137073798,0.5584231434694572,9.69795528610861e-05,63869.361967161836
4,2000,0.24980223568629265,0.001967730076468554,0.0001977643137073798,0.5584231434694572,9.69795528610861e-05,63869.361967161836
5,2500,0.24980223568629265,0.001967730076468554,0.0001977643137073798,0.5584231434694572,9.69795528610861e-05,63869.361967161836
6,3000,0.24980223568629265,0.001967730076468554,0.0001977643137073798,0.5584231434694572,9.69795528610861e-05,63869.361967161836
7,3500,0.24980223568629265,0.001967730076468554,0.0001977643137073798,0.5584231434694572,9.69795528610861e-05,63869.361967161836
8,4000,0.24980223568629265,0.001967730076468554,0.0001977643137073798,0.5584231434694572,9.69795528610861e-05,63869.361967161836
9,4500,0.24980223568629265,0.001967730076468554,0.0001977643137073798,0.5584231434694572,9.69795528610861e-05,63869.361967161836
10,5000,0.25,0.0,0.0,0.5581249255713842,9.715363894050128e-05,63866.62200935556
