,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,0.5473685318100737,6.032142176581512e-05,50583.74018321333
1,500,0.22192028748858214,0.04552251223182014,0.0045751846238579275,0.5265402332699691,0.00013686655426970284,135177.55799787154
2,1000,0.22192028748858214,0.04552251223182014,0.0045751846238579275,0.5265402332699691,0.00013686655426970284,135177.55799787154
3,1500,0.2340368235770936,0.0390799890435891,0.003927686680872273,0.529134160276359,0.00012732094838936657,116887.01379298384
4,2000,0.2340368235770936,0.0390799890435891,0.003927686680872273,0.529134160276359,0.00012732094838936657,116887.01379298384
5,2500,0.2404094956642631,0.03233373659680931,0.0032496627988424067,0.5467130621017345,0.00010281993287430135,80173.81466831944
6,3000,0.25,0.0,0.0,0.5551408550005371,9.933397074595377e-05,80177.57293770058
7,3500,0.25,0.0,0.0,0.5551408550005371,9.933397074595377e-05,80177.57293770058
8,4000,0.25,0.0,0.0,0.5551408550005371,9.933397074595377e-05,80177.57293770058
9,4500,0.25,0.0,0.0,0.5551408550005371,9.933397074595377e-05,80177.57293770058
10,5000,0.25,0.0,0.0,0.5584892510947603,9.770784996746791e-05,80179.20606241799
