,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-7.812044158165337,0.0004611056569659108,16297.17529869073
1,500,0.1952443963918382,0.07864883484652813,0.007904505314683723,0.5423266792738652,0.00012861963384844387,121162.82187004459
2,1000,0.24524972530427924,0.02211107489765093,0.0022222466408167896,0.5437533567178683,0.0001079459614712869,81100.39506971296
3,1500,0.24887730689240825,0.007260132059276319,0.0007296707263348436,0.5558331539367949,8.816069997102218e-05,58841.161287858835
4,2000,0.24887730689240825,0.007260132059276319,0.0007296707263348436,0.5558331539367949,8.816069997102218e-05,58841.161287858835
5,2500,0.24887730689240825,0.007260132059276319,0.0007296707263348436,0.5558331539367949,8.816069997102218e-05,58841.161287858835
6,3000,0.24887730689240825,0.007260132059276319,0.0007296707263348436,0.5558331539367949,8.816069997102218e-05,58841.161287858835
7,3500,0.24887730689240825,0.007260132059276319,0.0007296707263348436,0.5558331539367949,8.816069997102218e-05,58841.161287858835
8,4000,0.24887730689240825,0.007260132059276319,0.0007296707263348436,0.5558331539367949,8.816069997102218e-05,58841.161287858835
9,4500,0.24887730689240825,0.007260132059276319,0.0007296707263348436,0.5558331539367949,8.816069997102218e-05,58841.161287858835
10,5000,0.24887730689240825,0.007260132059276319,0.0007296707263348436,0.5558331539367949,8.816069997102218e-05,58841.161287858835
