,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,0.1307800561292698,0.0002583727276655932,198362.24911449052
1,500,0.133407517210999,0.08853053675103904,0.008897653723998967,0.5331514245105589,0.00012312499994120211,122219.7877294606
2,1000,0.25,0.0,0.0,0.5436969338823625,9.649212770606623e-05,72895.69354469757
3,1500,0.25,0.0,0.0,0.5436969338823625,9.649212770606623e-05,72895.69354469757
4,2000,0.25,0.0,0.0,0.5436969338823625,9.649212770606623e-05,72895.69354469757
5,2500,0.25,0.0,0.0,0.5436969338823625,9.649212770606623e-05,72895.69354469757
6,3000,0.25,0.0,0.0,0.5436969338823625,9.649212770606623e-05,72895.69354469757
7,3500,0.25,0.0,0.0,0.5436969338823625,9.649212770606623e-05,72895.69354469757
8,4000,0.25,0.0,0.0,0.5436969338823625,9.649212770606623e-05,72895.69354469757
9,4500,0.25,0.0,0.0,0.5436969338823625,9.649212770606623e-05,72895.69354469757
10,5000,0.25,0.0,0.0,0.5437216543004668,9.647240823808547e-05,72876.6252262971
