,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-0.04999938340086851,2.1046198686063344e-05,72924.83143858073
1,500,0.2492783708213223,0.0071801196703389315,0.0007216291786777134,0.5387803082581307,0.00010300469909455551,86374.60344414775
2,1000,0.25,0.0,0.0,0.5501294220797219,9.14619682172117e-05,71133.4848837652
3,1500,0.25,0.0,0.0,0.5501294220797219,9.14619682172117e-05,71133.4848837652
4,2000,0.25,0.0,0.0,0.5501294220797219,9.14619682172117e-05,71133.4848837652
5,2500,0.25,0.0,0.0,0.5501294220797219,9.14619682172117e-05,71133.4848837652
6,3000,0.25,0.0,0.0,0.5501294220797219,9.14619682172117e-05,71133.4848837652
7,3500,0.25,0.0,0.0,0.5501294220797219,9.14619682172117e-05,71133.4848837652
8,4000,0.25,0.0,0.0,0.5501294220797219,9.14619682172117e-05,71133.4848837652
9,4500,0.25,0.0,0.0,0.5501294220797219,9.14619682172117e-05,71133.4848837652
10,5000,0.25,0.0,0.0,0.5501294220797219,9.14619682172117e-05,71133.4848837652
