,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-8.130989160264626,0.0076966204447126985,24604.167991392467
1,500,0.22800904106715644,0.03678045263829201,0.003696574576383392,0.8588057591596694,0.0008592152675259228,16727.733710199926
2,1000,0.22800904106715644,0.03678045263829201,0.003696574576383392,0.8588057591596694,0.0008592152675259228,16727.733710199926
3,1500,0.25,0.0,0.0,0.8602387825065719,0.000846634856621977,19961.630639235493
4,2000,0.25,0.0,0.0,0.8602387825065719,0.000846634856621977,19961.630639235493
5,2500,0.25,0.0,0.0,0.8602387825065719,0.000846634856621977,19961.630639235493
6,3000,0.25,0.0,0.0,0.8602387825065719,0.000846634856621977,19961.630639235493
7,3500,0.25,0.0,0.0,0.8602388039443524,0.0008474502631103804,19973.85833076736
8,4000,0.25,0.0,0.0,0.8602388039443524,0.0008474502631103804,19973.85833076736
9,4500,0.25,0.0,0.0,0.8602388039443524,0.0008474502631103804,19973.85833076736
10,5000,0.25,0.0,0.0,0.8602397416954377,0.0008477476126408762,19964.696217659297
