,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,0.15139665883809772,0.0019779677373648946,18068.42839734638
1,500,0.25,0.0,0.0,0.8518716434164111,0.0009055382196691047,21900.48406911041
2,1000,0.25,0.0,0.0,0.8518716434164111,0.0009055382196691047,21900.48406911041
3,1500,0.25,0.0,0.0,0.8518716434164111,0.0009055382196691047,21900.48406911041
4,2000,0.25,0.0,0.0,0.8518716434164111,0.0009055382196691047,21900.48406911041
5,2500,0.25,0.0,0.0,0.8530519586181728,0.0008775653897859761,21536.711348217133
6,3000,0.25,0.0,0.0,0.8532248704829448,0.0008682315992408888,21918.224279479786
7,3500,0.25,0.0,0.0,0.8532257452532697,0.0008683632029790051,21887.68810242093
8,4000,0.25,0.0,0.0,0.8532257452532697,0.0008683632029790051,21887.68810242093
9,4500,0.25,0.0,0.0,0.8532257452532697,0.0008683632029790051,21887.68810242093
10,5000,0.25,0.0,0.0,0.8532257452532697,0.0008683632029790051,21887.68810242093
