,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-2.182894345052186,0.003520171728293824,14616.547936111965
1,500,0.19364809479481837,0.051062062298096435,0.005131930353470862,0.8644003417812569,0.000841527266706705,16422.654431795698
2,1000,0.19364809479481837,0.051062062298096435,0.005131930353470862,0.8644003417812569,0.000841527266706705,16422.654431795698
3,1500,0.2433884725584867,0.01878850900903851,0.0018883162046422091,0.864491333375116,0.0007842244826769798,11681.28645951573
4,2000,0.2433884725584867,0.01878850900903851,0.0018883162046422091,0.864491333375116,0.0007842244826769798,11681.28645951573
5,2500,0.25,0.0,0.0,0.8649094738538342,0.0008059152848870027,12825.885360224098
6,3000,0.25,0.0,0.0,0.8650070151781739,0.000815902702931439,12816.953059044334
7,3500,0.25,0.0,0.0,0.8650070151781739,0.000815902702931439,12816.953059044334
8,4000,0.25,0.0,0.0,0.8650070151781739,0.000815902702931439,12816.953059044334
9,4500,0.25,0.0,0.0,0.8650070151781739,0.000815902702931439,12816.953059044334
10,5000,0.25,0.0,0.0,0.8650070151781739,0.000815902702931439,12816.953059044334
