,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-7.383395973470279,0.000671508946544219,80392.8904435263
1,500,0.16624471155200066,0.07586582652021885,0.007624802453871514,0.5477584718145718,8.01206124730409e-05,51739.37074194627
2,1000,0.24689595442154208,0.018483898381770072,0.0018577016847087478,0.5342072816368879,0.00010841344317193884,86374.13572880265
3,1500,0.2488729861288791,0.010054731974232149,0.0010105385856399225,0.5323200382731248,0.00010588402993506279,79738.82239925771
4,2000,0.2488729861288791,0.010054731974232149,0.0010105385856399225,0.5323200382731248,0.00010588402993506279,79738.82239925771
5,2500,0.2488729861288791,0.010054731974232149,0.0010105385856399225,0.5323200382731248,0.00010588402993506279,79738.82239925771
6,3000,0.2491955774030722,0.006569979050465898,0.000660307739117904,0.53309696811296,0.00010553491856816453,79735.84745695397
7,3500,0.2491955774030722,0.006569979050465898,0.000660307739117904,0.53309696811296,0.00010553491856816453,79735.84745695397
8,4000,0.25,0.0,0.0,0.5337946790232135,0.0001052254742706897,79752.77839538953
9,4500,0.25,0.0,0.0,0.5337946790232135,0.0001052254742706897,79752.77839538953
10,5000,0.25,0.0,0.0,0.5337946790232135,0.0001052254742706897,79752.77839538953
