,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-3.6997145882862172,0.0005032834661730087,77257.77764451528
1,500,0.08589297076900895,0.06523279611591487,0.006556142689158868,0.4979879389309222,0.00018131412804086,178891.4907430642
2,1000,0.2494364734329001,0.005607018547402399,0.0005635265670999187,0.5433669148270092,9.860326486748853e-05,64635.63908775836
3,1500,0.2494364734329001,0.005607018547402399,0.0005635265670999187,0.5433669148270092,9.860326486748853e-05,64635.63908775836
4,2000,0.2494364734329001,0.005607018547402399,0.0005635265670999187,0.5433669148270092,9.860326486748853e-05,64635.63908775836
5,2500,0.25,0.0,0.0,0.5400402912139695,0.00010949336550743397,79910.57221110052
6,3000,0.25,0.0,0.0,0.5400402912139695,0.00010949336550743397,79910.57221110052
7,3500,0.25,0.0,0.0,0.5400402912139695,0.00010949336550743397,79910.57221110052
8,4000,0.25,0.0,0.0,0.5400402912139695,0.00010949336550743397,79910.57221110052
9,4500,0.25,0.0,0.0,0.5407235810116997,0.00010910359732962228,79910.78987418415
10,5000,0.25,0.0,0.0,0.5407235810116997,0.00010910359732962228,79910.78987418415
