,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-2.6735989479298925,0.0006507625125039389,187819.21435295284
1,500,0.22769616424189124,0.04883198822815819,0.0049077994763591665,0.5541664039584506,8.20153664505468e-05,40785.98728826945
2,1000,0.22769616424189124,0.04883198822815819,0.0049077994763591665,0.5541664039584506,8.20153664505468e-05,40785.98728826945
3,1500,0.22769616424189124,0.04883198822815819,0.0049077994763591665,0.5541664039584506,8.20153664505468e-05,40785.98728826945
4,2000,0.22769616424189124,0.04883198822815819,0.0049077994763591665,0.5541664039584506,8.20153664505468e-05,40785.98728826945
5,2500,0.22769616424189124,0.04883198822815819,0.0049077994763591665,0.5541664039584506,8.20153664505468e-05,40785.98728826945
6,3000,0.22769616424189124,0.04883198822815819,0.0049077994763591665,0.5541664039584506,8.20153664505468e-05,40785.98728826945
7,3500,0.24462191451626233,0.020120103727312696,0.0020221465092887083,0.5577889337762414,7.930149635328016e-05,40793.713511081856
8,4000,0.24462191451626233,0.020120103727312696,0.0020221465092887083,0.5577889337762414,7.930149635328016e-05,40793.713511081856
9,4500,0.24462191451626233,0.020120103727312696,0.0020221465092887083,0.5577889337762414,7.930149635328016e-05,40793.713511081856
10,5000,0.24462191451626233,0.020120103727312696,0.0020221465092887083,0.5577889337762414,7.930149635328016e-05,40793.713511081856
