,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,0.18439964485918092,2.881672838437938e-05,40694.87498518439
1,500,0.23182218907876093,0.04259578085846296,0.004281037053324978,0.5082331080617015,0.00014705701990386905,123048.20407204508
2,1000,0.23182218907876093,0.04259578085846296,0.004281037053324978,0.5082331080617015,0.00014705701990386905,123048.20407204508
3,1500,0.23182218907876093,0.04259578085846296,0.004281037053324978,0.5082331080617015,0.00014705701990386905,123048.20407204508
4,2000,0.24878643127110622,0.012074856393147614,0.0012135687288937808,0.5336616723166927,0.0001086053949983711,77904.762574618
5,2500,0.25,0.0,0.0,0.5302895913826255,0.00011368276795988873,83138.42667144396
6,3000,0.25,0.0,0.0,0.5313764244556893,0.00011304746545990658,83142.27069355464
7,3500,0.25,0.0,0.0,0.5313764244556893,0.00011304746545990658,83142.27069355464
8,4000,0.25,0.0,0.0,0.5313764244556893,0.00011304746545990658,83142.27069355464
9,4500,0.25,0.0,0.0,0.5313764244556893,0.00011304746545990658,83142.27069355464
10,5000,0.25,0.0,0.0,0.5313764244556893,0.00011304746545990658,83142.27069355464
