,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,0.6540841388935352,0.0012665146839164678,10941.953003983457
1,500,0.23912298237039573,0.027659673648348076,0.002779901797431855,0.6849781551835601,0.0015402154171171598,6499.055243505661
2,1000,0.24283723537760754,0.025475908693414328,0.0025604251614972304,0.6960417502596422,0.0013271409330015056,5054.900545014673
3,1500,0.24283723537760754,0.025475908693414328,0.0025604251614972304,0.6960417502596422,0.0013271409330015056,5054.900545014673
4,2000,0.24283723537760754,0.025475908693414328,0.0025604251614972304,0.6960417502596422,0.0013271409330015056,5054.900545014673
5,2500,0.24283723537760754,0.025475908693414328,0.0025604251614972304,0.6960417502596422,0.0013271409330015056,5054.900545014673
6,3000,0.24956594453945294,0.004318797302518627,0.00043405546054706997,0.6918382593492471,0.0013709315265341803,5040.351361079387
7,3500,0.24986521765036002,0.0013410674463548594,0.00013478234963997386,0.6934618306643665,0.001354882547281495,5034.545529541027
8,4000,0.25,0.0,0.0,0.6948254886515175,0.0013403462672880622,5035.623680324862
9,4500,0.25,0.0,0.0,0.6948254886515175,0.0013403462672880622,5035.623680324862
10,5000,0.25,0.0,0.0,0.6948254886515175,0.0013403462672880622,5035.623680324862
