,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-0.828416427343236,0.0066863199879233825,9782.026621568388
1,500,0.011704880178696015,0.010761582776002265,0.0010815797641924483,0.6172390464221635,0.001037994785918455,600.4910643105691
2,1000,0.19758965566738979,0.06120470602206679,0.006151304402400035,0.6213331289548144,0.0011593765272303062,1083.0293553530257
3,1500,0.19758965566738979,0.06120470602206679,0.006151304402400035,0.6213331289548144,0.0011593765272303062,1083.0293553530257
4,2000,0.22281047839354565,0.053981635196737425,0.005425358470224876,0.6105423316330587,0.0015084141283852005,2515.8206183912507
5,2500,0.22281047839354565,0.053981635196737425,0.005425358470224876,0.6105423316330587,0.0015084141283852005,2515.8206183912507
6,3000,0.24350042739571096,0.028688779378131933,0.002883330814865126,0.6049507228813618,0.0015456627172085555,2513.91713237646
7,3500,0.24350042739571096,0.028688779378131933,0.002883330814865126,0.6049507228813618,0.0015456627172085555,2513.91713237646
8,4000,0.24350042739571096,0.028688779378131933,0.002883330814865126,0.6049507228813618,0.0015456627172085555,2513.91713237646
9,4500,0.24350042739571096,0.028688779378131933,0.002883330814865126,0.6049507228813618,0.0015456627172085555,2513.91713237646
10,5000,0.24378792037401487,0.023346839152377247,0.002346445621491346,0.6037206702608601,0.001553537920058747,2515.5107214303453
