,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,0.1529496959075446,0.009647109687971011,6135.3881552771645
1,500,0.24987484602943894,0.0012452662841224344,0.00012515397056103687,0.7517573031551104,0.004603731210763798,6713.6430034080695
2,1000,0.25,0.0,0.0,0.7518326963666078,0.0049516123638468895,7967.570417353619
3,1500,0.25,0.0,0.0,0.7551836545035099,0.00445864877501763,6899.519782070676
4,2000,0.25,0.0,0.0,0.7551836545035099,0.00445864877501763,6899.519782070676
5,2500,0.25,0.0,0.0,0.7551836545035099,0.00445864877501763,6899.519782070676
6,3000,0.25,0.0,0.0,0.7551836545035099,0.00445864877501763,6899.519782070676
7,3500,0.25,0.0,0.0,0.7551836545035099,0.00445864877501763,6899.519782070676
8,4000,0.25,0.0,0.0,0.7551836545035099,0.00445864877501763,6899.519782070676
9,4500,0.25,0.0,0.0,0.7551836545035099,0.00445864877501763,6899.519782070676
10,5000,0.25,0.0,0.0,0.7551836545035099,0.00445864877501763,6899.519782070676
