,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-0.6949351104159114,0.005533253688880516,7152.178474357823
1,500,0.2440836091676633,0.023393632934263386,0.002351148573522802,0.6298807710115233,0.001399772493977576,1872.1392961212143
2,1000,0.2440836091676633,0.023393632934263386,0.002351148573522802,0.6298807710115233,0.001399772493977576,1872.1392961212143
3,1500,0.2463650835931807,0.015589278565429708,0.0015667814470866736,0.6328183150907107,0.001329556387273129,1548.964725607123
4,2000,0.24970453040911117,0.002939885309814196,0.0002954695908888311,0.6401480740073222,0.001229594511662957,1308.4659781521243
5,2500,0.24970453040911117,0.002939885309814196,0.0002954695908888311,0.6401480740073222,0.001229594511662957,1308.4659781521243
6,3000,0.25,0.0,0.0,0.6414838113101047,0.0012189089104178137,1320.873229376754
7,3500,0.25,0.0,0.0,0.6414838113101047,0.0012189089104178137,1320.873229376754
8,4000,0.25,0.0,0.0,0.642392699549532,0.0012052309136478827,1300.2219765281268
9,4500,0.25,0.0,0.0,0.642392699549532,0.0012052309136478827,1300.2219765281268
10,5000,0.25,0.0,0.0,0.6424618857706559,0.0012089333136909664,1323.1392999091124
